vessel_id,registry_count,reg_mmsi,reg_flag,reg_name,reg_imo,reg_geartype,reg_owner,ais_mmsi,ais_flag,ais_name,ais_match_fields,ais_msg_count,no_registry,flag_mismatch,name_mismatch,no_match,no_shipname,mmsi_history_count,mmsi_history,parse_error
3c2a291e2-2272-fd26-98af-d162fa9221b5,0.0,,,,,[],,477885900,HKG,SITC CHANGMING,NO_MATCH,3329316.0,True,False,False,True,False,1.0,['477885900'],
b7e1b4f2f-f108-5786-bd42-d98c057b31fa,3.0,273414670,RUS,ANDREY PERVOZVANNIY,9255268,['BUNKER_OR_TANKER'],AGROTEK TM,273414670,RUS,ANDREY PERVOZVANNIY,SEVERAL_FIELDS,5044093.0,False,False,False,False,False,3.0,"['230951000', '266430000', '273414670']",
5fbffb595-5754-b117-dcc4-b84ddef13cc6,0.0,,,,,[],,593350322,,MIN40886    3HAO07%,NO_MATCH,68.0,True,False,False,True,False,1.0,['593350322'],
e27bdcc6f-f848-ee7e-539c-62c59c0de417,0.0,,,,,[],,210132610,CYP,01326--10-78%,NO_MATCH,482.0,True,False,False,True,False,1.0,['210132610'],
11900b479-962c-6c88-397b-4293ef4034ec,0.0,,,,,[],,901512024,,15123388-93%,NO_MATCH,6.0,True,False,False,True,False,1.0,['901512024'],
712e9534a-a46f-523b-8753-fac993209417,0.0,,,,,[],,296086604,,60866--4-99%,NO_MATCH,902.0,True,False,False,True,False,1.0,['296086604'],
61521dcee-e5bf-7eee-1cbc-0c286408c411,0.0,,,,,[],,416958123,TWN,416958123--92%,NO_MATCH,1654.0,True,False,False,True,False,1.0,['416958123'],
ed5ba18ea-a775-7227-a769-bef4446ea247,0.0,,,,,[],,904267003,,04267-3-86%,NO_MATCH,334.0,True,False,False,True,False,1.0,['904267003'],
184184be2-27c0-6097-d810-07a63edeaeb5,0.0,,,,,[],,26182253,POL,61598---26       8V0,NO_MATCH,868.0,True,False,False,True,False,1.0,['26182253'],
1ffdee610-04fb-92f4-4f8f-50eb1911a134,0.0,,,,,[],,18236930,,FUDINGYU02369-30-77%,NO_MATCH,713.0,True,False,False,True,False,1.0,['18236930'],
045f0cdf2-2be4-5c4e-118a-6955e56ff697,0.0,,,,,[],,100461907,,04619-07--98%,NO_MATCH,679.0,True,False,False,True,False,1.0,['100461907'],
b8fcf6948-8de0-76e9-36e4-7e31f1c4a475,0.0,,,,,[],,10043925,,04392-15--81%,NO_MATCH,596.0,True,False,False,True,False,1.0,['10043925'],
f608adb8d-dcff-467f-426a-a8a3a2c5c8c3,0.0,,,,,[],,994167718,,BUOY35770-18     79%,NO_MATCH,1151.0,True,False,False,True,False,1.0,['994167718'],
5fa615c10-0b32-e379-7375-eeafae7b0e9a,0.0,,,,,[],,636752035,LBR,RP,NO_MATCH,4152.0,True,False,False,True,False,1.0,['636752035'],
2c66b8aaf-f7b5-0eb6-f047-b8b75e97db7e,0.0,,,,,[],,100059801,,00598-01-56%,NO_MATCH,78.0,True,False,False,True,False,1.0,['100059801'],
9c8f807d0-0450-1c33-51f7-08d7d01a33e8,0.0,,,,,[],,355632000,PAN,MAERSK NUSSFJORD,NO_MATCH,3767609.0,True,False,False,True,False,1.0,['355632000'],
79f5eb58e-e111-c3dc-93d3-36db4f7cc9ee,0.0,,,,,[],,18587933,,MINLIANYU69331-6 86%,NO_MATCH,354.0,True,False,False,True,False,1.0,['18587933'],
f081323c0-05ab-a3b5-926e-d9da2ee1601d,0.0,,,,,[],,200072853,,DONG XU HANG YUN,NO_MATCH,47211.0,True,False,False,True,False,1.0,['200072853'],
4b9852575-55fa-5ded-e080-1fac0d72f8d1,0.0,,,,,[],,231902808,FRO,60853--8-99%,NO_MATCH,430.0,True,False,False,True,False,1.0,['231902808'],
a16b04ffb-b9b5-857c-93ef-fe330229f7ce,0.0,,,,,[],,661096004,RWA,61096-4-99%,NO_MATCH,7444.0,True,False,False,True,False,1.0,['661096004'],
f6d551f93-37d9-1ca4-7107-e10a4664802c,0.0,,,,,[],,374212000,PAN,XIANG FU,NO_MATCH,2514239.0,True,False,False,True,False,1.0,['374212000'],
fba649e56-6b31-d916-8708-e0a3bb689da1,0.0,,,,,[],,538009432,MHL,MAGIC ECLIPSE,NO_MATCH,3924756.0,True,False,False,True,False,1.0,['538009432'],
01aa47d18-8e67-5577-9ac6-4c5f9d30b308,0.0,,,,,[],,563143100,SGP,WAN HAI 291,NO_MATCH,6863276.0,True,False,False,True,False,1.0,['563143100'],
1fb99c0fa-afc2-b382-97f6-465db265cfc7,0.0,,,,,[],,416001967,TWN,JUINN F NG NO:28,NO_MATCH,114865.0,True,False,False,True,False,1.0,['416001967'],
df0f85025-500d-9c25-b1a2-d401ff48dce9,0.0,,,,,[],,100231217,,02312-17--99%,NO_MATCH,4668.0,True,False,False,True,False,1.0,['100231217'],
5b32f5c06-61ba-191d-9559-af2357484e55,0.0,,,,,[],,286055230,,YU60552--30-58%,NO_MATCH,62.0,True,False,False,True,False,1.0,['286055230'],
8bb6d0027-74f8-801f-b9c9-ad36ccce2a10,0.0,,,,,[],,239961003,GRC,01111--0---92%,NO_MATCH,290.0,True,False,False,True,False,1.0,['239961003'],
ae56cbb56-6185-4fcf-6ea1-e9b63983b4f7,0.0,,,,,[],,563144600,SGP,SUNRISE DRAGON,NO_MATCH,4234704.0,True,False,False,True,False,1.0,['563144600'],
6ba792f4f-fe84-1dc4-b6f6-2259e1760d48,0.0,,,,,[],,296041107,,60411--7-79%,NO_MATCH,184.0,True,False,False,True,False,1.0,['296041107'],
82555479f-ffbf-bd2e-74ea-393b95a29f94,1.0,372983000,PAN,DREAM ORCHID,9360568,['CARGO'],DYNAMIC WAVE SHIPPING,372983000,PAN,DREAM ORCHID,SEVERAL_FIELDS,7006056.0,False,False,False,False,False,1.0,['372983000'],
807729baf-f47a-5c48-2316-fe572087b43b,0.0,,,,,[],,636019214,LBR,MSC KANOKO,NO_MATCH,10097554.0,True,False,False,True,False,1.0,['636019214'],
bf04f0600-08e0-bdaa-c8a5-32851c3b643a,0.0,,,,,[],,256088604,MLT,60886-4--99%,NO_MATCH,196.0,True,False,False,True,False,1.0,['256088604'],
ae85c4a56-60ff-67c4-5299-3898277c4b27,0.0,,,,,[],,352005040,PAN,KR CELEBES,NO_MATCH,1880158.0,True,False,False,True,False,1.0,['352005040'],
cccebdaa0-0aca-88d2-70c3-8ca8a3c9df0d,0.0,,,,,[],,286017401,,YU60174--1-94%,NO_MATCH,1927.0,True,False,False,True,False,1.0,['286017401'],
